geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 80; 62; 16; 0.2; 0.3; 28; 62; [1, 4, 10, 20] - 1086; 1720;
2; 62; 48; 12; 0.2; 0.3; 22; 48; [1, 4, 10, 20] - 1086; 1844;
3; 48; 37; 9; 0.2; 0.3; 17; 37; [1, 4, 10, 20] - 1086; 1660;
4; 37; 28; 7; 0.2; 0.3; 13; 29; [1, 4, 10, 20] - 1086; 1832;
5; 28; 21; 5; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1832;
6; 21; 16; 4; 0.2; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1890;
7; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 4, 10, 20] - 1163; 1947;
8; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1890;
9; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1890;
10; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 2003;

