geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 52; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 38;40;
2; 52; 30; 5; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 28;36;
3; 30; 19; 3; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 14;34;
4; 19; 21; 9; 0.1; 2; 0; 2; 0; 0.03; 0; 0; 7;34;
5; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 8;33;
6; 15; 16; 7; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 6;33;
7; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7;33;
8; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;33;
9; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;33;
10; 19; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 9;33;
11; 19; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;33;
12; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 7;33;
13; 23; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 7;32;
14; 18; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;32;
15; 19; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;32;
16; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 7;33;
17; 23; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 4;32;
18; 21; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 9;31;
19; 14; 15; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;32;
20; 15; 17; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 5;32;

