geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 38; 30; 7; 0.2; 3; 0; 0; 0; 0.3; 11; 11; 10;1814
2; 30; 29; 6; 0.2; 2; 1; 0; 0; 0.3; 10; 10; 9;1718
3; 29; 27; 5; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 9;1711
4; 27; 27; 5; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 9;1711
5; 27; 25; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 8;1660
6; 25; 24; 5; 0.2; 0; 2; 0; 0; 0.3; 8; 8; 8;1660
7; 24; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1619
8; 23; 24; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1660
9; 24; 24; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 8;1660
10; 24; 25; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1660

