geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 80; 62; 16; 0.2; 0.3; 28; 62; [1, 2, 3, 23, 33, 47, 55, 58, 62, 70] - 3704; 4862;
2; 62; 48; 12; 0.2; 0.3; 22; 48; [1, 2, 3, 23, 25, 33, 47, 55, 57, 70] - 3724; 4780;
3; 48; 37; 9; 0.2; 0.3; 17; 37; [1, 3, 13, 40, 44, 54, 56, 63, 70] - 3793; 4780;
4; 37; 28; 7; 0.2; 0.3; 13; 29; [1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683; 4938;
5; 28; 21; 5; 0.2; 0.3; 9; 21; [1, 3, 9, 13, 21, 23, 33, 47, 55, 58, 62, 70] - 3905; 4854;
6; 21; 16; 4; 0.2; 0.3; 7; 16; [1, 2, 9, 13, 21, 31, 41, 45, 57, 70] - 3824; 4904;
7; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 40, 44, 45, 56, 63, 70] - 3913; 4903;
8; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 40, 44, 45, 56, 63, 70] - 3913; 4969;
9; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 5, 6, 7, 17, 24, 28, 35, 49, 58, 62, 70] - 3893; 4941;
10; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 40, 41, 45, 57, 70] - 3805; 4608;
11; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 3, 12, 22, 25, 33, 49, 55, 58, 62, 70] - 3891; 4952;
12; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 21, 22, 33, 49, 55, 57, 70] - 3920; 5192;
13; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 21, 22, 33, 49, 55, 57, 70] - 3920; 5063;
14; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 21, 22, 33, 49, 55, 57, 70] - 3920; 4970;
15; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 13, 21, 22, 33, 49, 55, 57, 70] - 3920; 4970;
16; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 3, 5, 12, 14, 25, 33, 49, 58, 62, 70] - 3797; 4970;
17; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 9, 21, 31, 41, 47, 55, 57, 70] - 3867; 4970;
18; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 9, 21, 31, 41, 47, 55, 57, 70] - 3867; 4953;
19; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 9, 13, 40, 44, 45, 57, 70] - 3921; 4893;
20; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 9, 13, 40, 44, 55, 57, 70] - 4026; 4973;

