geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 29; 23; 5; 0.2; 0; 1; 1; 0; 0.3; 9; 9; 20;1832
2; 23; 21; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 13;1711
3; 21; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 10;1814
4; 22; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 11;1814
5; 22; 20; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 13;1711
6; 20; 23; 12; 0.2; 5; 1; 0; 0; 0.3; 8; 8; 17;1727
7; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 12;1727
8; 23; 22; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 13;1727
9; 22; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 7; 7; 10;1718
10; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 11;1718

