geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 80; 90; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 0;46.0
2; 90; 101; 9; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 0;48.0
3; 101; 114; 10; 0.1; 4; 0; 1; 0; 0.03; 3; 3; 0;48.0
4; 114; 128; 11; 0.1; 4; 0; 1; 0; 0.03; 3; 3; 0;48.0
5; 128; 144; 12; 0.1; 2; 0; 4; 0; 0.03; 4; 4; 0;48.0
6; 144; 162; 14; 0.1; 4; 0; 3; 0; 0.03; 4; 4; 0;48.0
7; 162; 183; 16; 0.1; 6; 0; 2; 0; 0.03; 5; 5; 0;49.0
8; 183; 207; 18; 0.1; 5; 0; 4; 0; 0.03; 6; 6; 0;48.0
9; 207; 233; 20; 0.1; 6; 0; 4; 0; 0.03; 6; 6; 0;49.0
10; 233; 263; 23; 0.1; 6; 0; 5; 0; 0.03; 7; 7; 0;49.0

