geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 80; 62; 16; 0.2; 0.3; 28; 62; [1, 2, 5, 12, 13, 19, 20] - 30; 48;
2; 62; 48; 12; 0.2; 0.3; 22; 48; [1, 3, 5, 12, 19, 20] - 32; 48;
3; 48; 37; 9; 0.2; 0.3; 17; 37; [1, 3, 8, 9, 12, 19, 20] - 32; 48;
4; 37; 28; 7; 0.2; 0.3; 13; 29; [1, 3, 5, 12, 19, 20] - 32; 48;
5; 28; 21; 5; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 48;
6; 21; 16; 4; 0.2; 0.3; 7; 16; [1, 3, 8, 9, 12, 19, 20] - 32; 49;
7; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 3, 5, 12, 19, 20] - 32; 51;
8; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 4, 10, 13, 19, 20] - 35; 51;
9; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 4, 10, 13, 19, 20] - 35; 49;
10; 16; 16; 9; 0.6; 0.3; 7; 16; [1, 2, 4, 10, 13, 19, 20] - 35; 52;

