geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 32; 25; 6, 0.2, 0.3, 9, 22, [1, 4, 10, 20] - 1086, 1832
2; 25; 24; 5, 0.2, 0.3, 8, 14, [1, 4, 10, 20] - 1086, 1814
3; 24; 23; 4, 0.2, 0.3, 8, 13, [1, 4, 10, 20] - 1086, 1711
4; 23; 24; 4, 0.2, 0.3, 8, 11, [1, 4, 10, 20] - 1086, 1711
5; 24; 23; 4, 0.2, 0.3, 8, 13, [1, 4, 10, 20] - 1086, 1689
6; 23; 22; 4, 0.2, 0.3, 7, 12, [1, 4, 10, 20] - 1086, 1689
7; 22; 23; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1689
8; 23; 23; 4, 0.2, 0.3, 7, 11, [1, 4, 10, 20] - 1086, 1660
9; 23; 23; 4, 0.2, 0.3, 7, 11, [1, 4, 10, 20] - 1086, 1594
10; 23; 24; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1660

