geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 80; 51; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 39
2; 51; 39; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 18
3; 39; 19; 3; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 24
4; 19; 22; 9; 0.1; 3; 0; 1; 0; 0.03; 0; 0; 6
5; 22; 11; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 13
6; 11; 11; 5; 0.5; 1; 0; 1; 0; 0.03; 0; 0; 5
7; 11; 11; 5; 0.5; 2; 0; 0; 0; 0.03; 0; 0; 5
8; 11; 11; 5; 0.5; 1; 0; 1; 0; 0.03; 0; 0; 5
9; 11; 13; 5; 0.5; 1; 0; 1; 0; 0.03; 0; 0; 3
10; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6
11; 13; 13; 6; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 6
12; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6
13; 13; 14; 6; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 5
14; 14; 14; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 7
15; 14; 14; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 7
16; 14; 14; 7; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 7
17; 14; 15; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 6
18; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6
19; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 6
20; 18; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7
21; 20; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 0; 0; 9
22; 21; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 9
23; 14; 16; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 5
24; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7
25; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7
26; 18; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8
27; 19; 18; 9; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 10
28; 18; 19; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 8
29; 19; 23; 9; 0.1; 2; 0; 2; 0; 0.03; 0; 0; 5
30; 23; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 11
31; 14; 15; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6
32; 15; 16; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 6
33; 16; 16; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 8
34; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7
35; 17; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 0; 0; 4
36; 21; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 5
37; 18; 21; 9; 0.1; 4; 0; 0; 0; 0.03; 0; 0; 6
38; 21; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 5
39; 18; 19; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 8
40; 19; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8
41; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 0; 0; 9
42; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 6
43; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6
44; 19; 18; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 10
45; 18; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7
46; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 8
47; 22; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 9
48; 15; 16; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 6
49; 16; 16; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 8
50; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7
51; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 8
52; 17; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 6
53; 19; 20; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 8
54; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 0; 0; 9
55; 21; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 6
56; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 8
57; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7
58; 18; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8
59; 19; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 9
60; 19; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 9
61; 19; 20; 9; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 8
62; 20; 22; 10; 0.1; 0; 0; 5; 0; 0.03; 0; 0; 8
63; 22; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 7
64; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 6
