geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 37; 28; 3; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 9;1844
2; 28; 22; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 7;1814
3; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1660
4; 18; 18; 9; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1660
5; 18; 17; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1587
6; 17; 17; 8; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1587
7; 17; 17; 8; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1587
8; 17; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1587
9; 18; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1612
10; 20; 20; 10; 0.1; 2; 1; 2; 0; 0.03; 0; 0; 6;1612

