geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 33; 25; 3; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 8;1711
2; 25; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 6;1587
3; 20; 20; 10; 0.1; 1; 3; 1; 0; 0.03; 0; 0; 7;1587
4; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1587
5; 20; 20; 10; 0.1; 1; 2; 2; 0; 0.03; 0; 0; 7;1587
6; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 6;1587
7; 20; 21; 10; 0.1; 1; 2; 2; 0; 0.03; 0; 0; 7;1587
8; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 6;1527
9; 17; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 6;1527
10; 17; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1556

