geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 33; 25; 3; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 8;1731
2; 25; 20; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 7;1718
3; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 6;1711
4; 20; 20; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 7;1660
5; 20; 21; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 7;1660
6; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 6;1527
7; 17; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 6;1527
8; 17; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1527
9; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1556
10; 19; 18; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1556

