geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;200;163;40;0.2;0.15;40;149;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4377
2;163;123;32;0.2;0.15;32;124;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3884
3;123;93;24;0.2;0.15;24;94;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3699
4;93;73;18;0.2;0.15;19;73;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3683
5;73;54;14;0.2;0.15;14;55;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
6;54;39;10;0.2;0.15;10;39;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
7;39;29;7;0.2;0.15;7;30;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
8;29;21;5;0.2;0.15;5;22;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
9;21;14;4;0.2;0.15;3;14;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
10;14;12;8;0.6;0.15;3;13;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
11;12;12;7;0.6;0.15;3;12;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
12;12;14;7;0.6;0.15;3;14;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
13;14;14;8;0.6;0.15;3;15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3511
14;14;14;8;0.6;0.15;3;15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
15;14;14;8;0.6;0.15;3;15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
16;14;16;8;0.6;0.15;4;16;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
17;16;15;9;0.6;0.15;4;16;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
18;15;13;9;0.6;0.15;3;14;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
19;13;12;7;0.6;0.15;3;13;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
20;12;12;7;0.6;0.15;3;12;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
21;12;13;7;0.6;0.15;3;13;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
22;13;12;7;0.6;0.15;3;13;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
23;12;10;7;0.6;0.15;2;11;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
24;10;10;6;0.6;0.15;2;10;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
25;10;9;6;0.6;0.15;2;9;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
26;9;8;5;0.6;0.15;2;8;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
27;8;6;4;0.6;0.15;1;7;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
28;6;5;3;0.6;0.15;1;5;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
29;5;4;3;0.6;0.15;1;5;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
30;4;3;2;0.6;0.15;0;3;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
31;3;2;1;0.6;0.15;0;2;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
32;2;1;1;0.6;0.15;0;2;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457

