geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 20; 18; 12; 0.2; 0.15; 5; 19; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 49;
2; 18; 16; 10; 0.6; 0.15; 5; 17; [1, 3, 5, 10, 14, 15, 20] - 29; 44;
3; 16; 15; 10; 0.6; 0.15; 4; 15; [1, 3, 5, 10, 14, 15, 20] - 29; 46;
4; 15; 14; 10; 0.6; 0.15; 4; 15; [1, 3, 5, 10, 14, 15, 20] - 29; 48;
5; 14; 13; 8; 0.6; 0.15; 4; 13; [1, 3, 8, 9, 13, 19, 20] - 33; 50;
6; 13; 12; 8; 0.6; 0.15; 4; 13; [1, 3, 5, 2, 4, 10, 13, 15, 20] - 41; 56;
7; 12; 11; 8; 0.6; 0.15; 3; 12; [1, 2, 4, 10, 14, 13, 15, 20] - 37; 46;
8; 11; 10; 6; 0.6; 0.15; 3; 10; [1, 2, 4, 10, 14, 13, 15, 20] - 37; 49;

