geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 20; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 11;44.0
2; 20; 20; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 11;42.0
3; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;40.0
4; 22; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;37.0
5; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;39.0
6; 20; 23; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;39.0
7; 23; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 8;37.0
8; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;37.0
9; 19; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10;36.0
10; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;36.0
11; 19; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;36.0
12; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;36.0
13; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;36.0
14; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;36.0
15; 21; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 8;35.0
16; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;35.0
17; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;35.0
18; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;35.0
19; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;35.0
20; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;35.0
21; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;35.0
22; 19; 22; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;35.0
23; 22; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 8;33.0
24; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33.0
25; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33.0
26; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33.0
27; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33.0
28; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;33.0
29; 19; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 10;33.0
30; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;33.0
31; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;33.0
32; 18; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;33.0
33; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33.0
34; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33.0
35; 19; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;33.0
36; 19; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;33.0
37; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33.0
38; 20; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 11;33.0
39; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;33.0
40; 21; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 8;32.0
41; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32.0
42; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
43; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;32.0
44; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
45; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
46; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
47; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
48; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
49; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
50; 18; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
51; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
52; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
53; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
54; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
55; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
56; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
57; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
58; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
59; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
60; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
61; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
62; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
63; 18; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32.0
64; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;32.0
65; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;32.0
66; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 7;32.0
67; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
68; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
69; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
70; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
71; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
72; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
73; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
74; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
75; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
76; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
77; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
78; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
79; 17; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;32.0
80; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
81; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
82; 17; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
83; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;32.0
84; 18; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
85; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
86; 18; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32.0
87; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
88; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32.0
89; 19; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;32.0
90; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
91; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
92; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
93; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32.0
94; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32.0
95; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32.0
96; 20; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 11;32.0
97; 20; 20; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 11;32.0
98; 20; 20; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 11;32.0
