geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 20; 20; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 6;1814
2; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 6;1814
3; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 7;1814
4; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 6;1711
5; 20; 19; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 6;1619
6; 19; 20; 10; 0.5; 0; 4; 1; 0; 0.03; 1; 1; 6;1711
7; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 6;1619
8; 20; 20; 10; 0.1; 0; 4; 1; 0; 0.03; 1; 1; 6;1612
9; 20; 20; 10; 0.1; 0; 4; 1; 0; 0.03; 1; 1; 6;1612
10; 20; 19; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 6;1587
11; 19; 20; 10; 0.5; 2; 2; 1; 0; 0.03; 1; 1; 7;1612
12; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 7;1612
13; 20; 20; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 6;1612
14; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 7;1612
15; 20; 21; 10; 0.1; 1; 1; 3; 0; 0.03; 1; 1; 7;1612
16; 21; 18; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1587
17; 18; 19; 10; 0.5; 3; 1; 1; 0; 0.03; 1; 1; 6;1587
18; 19; 20; 10; 0.5; 4; 0; 1; 0; 0.03; 1; 1; 6;1612
19; 20; 19; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 6;1587
20; 19; 20; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 6;1612

