geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 19; 22; 12; 0.6; 3; 1; 2; 0; 0.3; 8; 8; 17;1711
2; 22; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 12;1660
3; 22; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 11;1594
4; 23; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 12;1594
5; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 13;1594
6; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 13;1594
7; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 13;1594
8; 23; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 13;1594
9; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 12;1594
10; 23; 25; 4; 0.2; 0; 0; 2; 0; 0.3; 9; 9; 11;1660

