geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 20; 20; 12; 0.2; 1; 3; 2; 0; 0.3; 7; 7; 6;1711
2; 20; 21; 12; 0.2; 2; 1; 3; 0; 0.3; 8; 8; 7;1711
3; 21; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1814
4; 22; 20; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 7;1711
5; 20; 23; 12; 0.2; 1; 2; 3; 0; 0.3; 9; 9; 7;1814
6; 23; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1814
7; 22; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 7;1711
8; 22; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1689
9; 21; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1660
10; 21; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1689

