geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;34;12;0.2;0.15;7;17;[1, 45, 99]: 200, trocas: 0;454
2;34;35;6;0.2;0.15;7;16;[1, 45, 99]: 200, trocas: 0;379
3;35;41;8;0.2;0.15;8;16;[1, 45, 99]: 200, trocas: 0;384
4;41;40;8;0.2;0.15;8;21;[1, 45, 99]: 200, trocas: 0;384
5;40;40;8;0.2;0.15;8;20;[1, 45, 99]: 200, trocas: 0;384
6;40;39;8;0.2;0.15;8;21;[1, 45, 99]: 200, trocas: 0;384
7;39;43;8;0.2;0.15;9;21;[1, 45, 99]: 200, trocas: 0;356
8;43;45;8;0.2;0.15;9;21;[1, 45, 99]: 200, trocas: 0;356
9;45;46;10;0.2;0.15;9;20;[1, 45, 99]: 200, trocas: 0;356
10;46;50;10;0.2;0.15;9;19;[1, 45, 99]: 200, trocas: 0;356
11;50;50;10;0.2;0.15;9;19;[1, 45, 99]: 200, trocas: 0;356
12;50;55;10;0.2;0.15;10;21;[1, 45, 99]: 200, trocas: 0;356
13;55;60;12;0.2;0.15;11;22;[1, 45, 99]: 200, trocas: 0;356
14;60;59;12;0.2;0.15;12;29;[1, 45, 99]: 200, trocas: 0;200
15;59;61;12;0.2;0.15;12;26;[1, 45, 99]: 200, trocas: 0;200
16;61;62;12;0.2;0.15;12;25;[1, 45, 99]: 200, trocas: 0;200
17;62;64;12;0.2;0.15;12;24;[1, 45, 99]: 200, trocas: 0;200
18;64;68;12;0.2;0.15;12;24;[1, 45, 99]: 200, trocas: 0;200
19;68;71;14;0.2;0.15;13;26;[1, 45, 99]: 200, trocas: 0;200
20;71;76;14;0.2;0.15;14;27;[1, 45, 99]: 200, trocas: 0;200
21;76;78;16;0.2;0.15;14;28;[1, 45, 99]: 200, trocas: 0;200
22;78;80;16;0.2;0.15;15;29;[1, 45, 99]: 200, trocas: 0;200
23;80;83;16;0.2;0.15;15;30;[1, 45, 99]: 200, trocas: 0;200
24;83;89;16;0.2;0.15;16;32;[1, 45, 99]: 200, trocas: 0;200
25;89;94;18;0.2;0.15;17;34;[1, 45, 99]: 200, trocas: 0;200
26;94;94;18;0.2;0.15;17;35;[1, 45, 99]: 200, trocas: 0;200
27;94;97;18;0.2;0.15;18;35;[1, 45, 99]: 200, trocas: 0;200
28;97;99;20;0.2;0.15;18;36;[1, 45, 99]: 200, trocas: 0;200
29;99;102;20;0.2;0.15;19;38;[1, 45, 99]: 200, trocas: 0;200
30;102;103;20;0.2;0.15;19;38;[1, 45, 99]: 200, trocas: 0;200
31;103;103;20;0.2;0.15;19;39;[1, 45, 99]: 200, trocas: 0;200
32;103;103;20;0.2;0.15;19;39;[1, 45, 99]: 200, trocas: 0;200
33;103;105;20;0.2;0.15;19;39;[1, 45, 99]: 200, trocas: 0;200
34;105;108;22;0.2;0.15;20;41;[1, 45, 99]: 200, trocas: 0;200
35;108;113;22;0.2;0.15;21;42;[1, 45, 99]: 200, trocas: 0;200
36;113;115;22;0.2;0.15;21;43;[1, 45, 99]: 200, trocas: 0;200
37;115;116;24;0.2;0.15;21;44;[1, 45, 99]: 200, trocas: 0;200
38;116;122;24;0.2;0.15;22;44;[1, 45, 99]: 200, trocas: 0;200
39;122;123;24;0.2;0.15;22;45;[1, 45, 99]: 200, trocas: 0;200
40;123;126;24;0.2;0.15;23;46;[1, 45, 99]: 200, trocas: 0;200
41;126;127;26;0.2;0.15;23;48;[1, 45, 99]: 200, trocas: 0;200
42;127;129;26;0.2;0.15;23;47;[1, 45, 99]: 200, trocas: 0;200
43;129;131;26;0.2;0.15;24;48;[1, 45, 99]: 200, trocas: 0;200
44;131;131;26;0.2;0.15;24;50;[1, 45, 99]: 200, trocas: 0;200
45;131;131;26;0.2;0.15;24;50;[1, 45, 99]: 200, trocas: 0;200
46;131;130;26;0.2;0.15;24;51;[1, 45, 99]: 200, trocas: 0;200
47;130;130;26;0.2;0.15;24;50;[1, 45, 99]: 200, trocas: 0;200
48;130;132;26;0.2;0.15;24;48;[1, 45, 99]: 200, trocas: 0;200
49;132;133;26;0.2;0.15;24;49;[1, 45, 99]: 200, trocas: 0;200
50;133;134;26;0.2;0.15;24;49;[1, 45, 99]: 200, trocas: 0;200
51;134;135;26;0.2;0.15;25;52;[1, 45, 99]: 200, trocas: 0;200
52;135;138;28;0.2;0.15;25;50;[1, 45, 99]: 200, trocas: 0;200
53;138;139;28;0.2;0.15;25;52;[1, 45, 99]: 200, trocas: 0;200
54;139;141;28;0.2;0.15;26;52;[1, 45, 99]: 200, trocas: 0;200
55;141;140;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
56;140;141;28;0.2;0.15;26;53;[1, 45, 99]: 200, trocas: 0;200
57;141;140;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
58;140;139;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
59;139;138;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
60;138;137;28;0.2;0.15;25;54;[1, 45, 99]: 200, trocas: 0;200
61;137;137;28;0.2;0.15;25;53;[1, 45, 99]: 200, trocas: 0;200
62;137;137;28;0.2;0.15;25;53;[1, 45, 99]: 200, trocas: 0;200
63;137;139;28;0.2;0.15;25;51;[1, 45, 99]: 200, trocas: 0;200
64;139;139;28;0.2;0.15;26;54;[1, 45, 99]: 200, trocas: 0;200
65;139;137;28;0.2;0.15;26;56;[1, 45, 99]: 200, trocas: 0;200
66;137;138;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
67;138;139;28;0.2;0.15;25;52;[1, 45, 99]: 200, trocas: 0;200
68;139;139;28;0.2;0.15;26;54;[1, 45, 99]: 200, trocas: 0;200
69;139;138;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
70;138;137;28;0.2;0.15;25;54;[1, 45, 99]: 200, trocas: 0;200
71;137;139;28;0.2;0.15;25;51;[1, 45, 99]: 200, trocas: 0;200
72;139;140;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
73;140;143;28;0.2;0.15;26;53;[1, 45, 99]: 200, trocas: 0;200
74;143;144;28;0.2;0.15;26;53;[1, 45, 99]: 200, trocas: 0;200
75;144;143;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
76;143;143;28;0.2;0.15;26;54;[1, 45, 99]: 200, trocas: 0;200
77;143;143;28;0.2;0.15;26;54;[1, 45, 99]: 200, trocas: 0;200
78;143;142;28;0.2;0.15;26;55;[1, 45, 99]: 200, trocas: 0;200
79;142;145;28;0.2;0.15;26;51;[1, 45, 99]: 200, trocas: 0;200
80;145;149;30;0.2;0.15;27;53;[1, 45, 99]: 200, trocas: 0;200
81;149;150;30;0.2;0.15;27;56;[1, 45, 99]: 200, trocas: 0;200
82;150;153;30;0.2;0.15;28;57;[1, 45, 99]: 200, trocas: 0;200
83;153;151;30;0.2;0.15;28;60;[1, 45, 99]: 200, trocas: 0;200
84;151;150;30;0.2;0.15;28;59;[1, 45, 99]: 200, trocas: 0;200
85;150;149;30;0.2;0.15;27;58;[1, 45, 99]: 200, trocas: 0;200
86;149;149;30;0.2;0.15;27;57;[1, 45, 99]: 200, trocas: 0;200
87;149;148;30;0.2;0.15;27;58;[1, 45, 99]: 200, trocas: 0;200
88;148;148;30;0.2;0.15;27;57;[1, 45, 99]: 200, trocas: 0;200
89;148;151;30;0.2;0.15;27;54;[1, 45, 99]: 200, trocas: 0;200
90;151;151;30;0.2;0.15;28;58;[1, 45, 99]: 200, trocas: 0;200
91;151;151;30;0.2;0.15;28;58;[1, 45, 99]: 200, trocas: 0;200
92;151;153;30;0.2;0.15;28;56;[1, 45, 99]: 200, trocas: 0;200
93;153;155;30;0.2;0.15;28;56;[1, 45, 99]: 200, trocas: 0;200
94;155;156;32;0.2;0.15;29;60;[1, 45, 99]: 200, trocas: 0;200
95;156;156;32;0.2;0.15;29;61;[1, 45, 99]: 200, trocas: 0;200
96;156;158;32;0.2;0.15;29;59;[1, 45, 99]: 200, trocas: 0;200
97;158;156;32;0.2;0.15;29;63;[1, 45, 99]: 200, trocas: 0;200
98;156;156;32;0.2;0.15;29;61;[1, 45, 99]: 200, trocas: 0;200
99;156;158;32;0.2;0.15;29;59;[1, 45, 99]: 200, trocas: 0;200
