geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 19; 22; 12; 0.6; ; 0.3; 9; 18; [1, 2, 4, 10, 20] - 11631711
2; 22; 22; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
3; 22; 22; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
4; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861612
5; 21; 20; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861612
6; 20; 21; 12; 0.2; ; 0.3; 9; 20; [1, 4, 10, 20] - 10861587
7; 21; 21; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861587
8; 21; 22; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861587
9; 22; 23; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861587
10; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861587
11; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
12; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861556
13; 21; 23; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861587
14; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861587
15; 23; 24; 4; 0.2; ; 0.3; 9; 12; [1, 4, 10, 20] - 10861612
16; 24; 25; 4; 0.2; ; 0.3; 9; 12; [1, 4, 10, 20] - 10861612
17; 25; 26; 6; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861660
18; 26; 26; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861660
19; 26; 26; 6; 0.2; ; 0.3; 10; 16; [1, 4, 10, 20] - 10861660
20; 26; 26; 6; 0.2; ; 0.3; 10; 16; [1, 4, 10, 20] - 10861660

