geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 20; 17; 10; 0.5; 5; 0; 0; 0; 0.03; 1; 1; 14;39;
2; 17; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;37;
3; 17; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 5;37;
4; 21; 13; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11;35;
5; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;35;
6; 15; 16; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;35;
7; 16; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34;
8; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;35;
9; 20; 22; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 9;35;
10; 22; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;35;

