geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 26; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 7;1814
2; 20; 19; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 6;1660
3; 19; 19; 9; 0.5; 0; 3; 1; 0; 0.03; 0; 0; 6;1660
4; 19; 20; 9; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1711
5; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 6;1660
6; 20; 23; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1612
7; 23; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1556
8; 19; 20; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 7;1594
9; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 0; 0; 7;1594
10; 20; 22; 10; 0.1; 2; 3; 0; 0; 0.03; 0; 0; 7;1612

