geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 14; 31; [1, 3, 13, 31, 32, 39, 53, 54, 56, 63, 70] - 4161; 5160;
2; 31; 24; 6; 0.2; 0.3; 11; 24; [1, 3, 13, 40, 41, 45, 56, 63, 70] - 3880; 5160;
3; 24; 18; 4; 0.2; 0.3; 8; 18; [1, 3, 9, 13, 23, 25, 33, 41, 45, 56, 63, 70] - 4041; 4983;
4; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 9, 13, 23, 25, 33, 41, 45, 56, 63, 70] - 4041; 5073;
5; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 9, 11, 21, 23, 25, 33, 49, 55, 58, 62, 70] - 3932; 5020;
6; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 9, 13, 23, 25, 33, 41, 45, 56, 63, 70] - 4041; 5265;
7; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 9, 11, 20, 39, 44, 56, 63, 70] - 4229; 5157;
8; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 13, 22, 23, 33, 46, 49, 55, 57, 70] - 4127; 4943;
9; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 13, 22, 23, 33, 46, 49, 55, 57, 70] - 4127; 4985;
10; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 11, 21, 31, 40, 41, 45, 57, 70] - 4009; 4926;
11; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 13, 23, 33, 46, 49, 55, 57, 70] - 4064; 4827;
12; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 13, 23, 33, 46, 49, 55, 57, 70] - 4064; 5061;
13; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 22, 25, 26, 34, 35, 49, 58, 62, 70] - 4005; 5061;
14; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 5, 6, 14, 22, 25, 33, 47, 49, 58, 62, 70] - 3902; 5061;
15; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 9, 11, 21, 22, 33, 49, 58, 62, 70] - 3827; 5061;
16; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 23, 25, 26, 33, 47, 55, 57, 70] - 3850; 5278;
17; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 23, 25, 26, 33, 47, 55, 57, 70] - 3850; 5018;
18; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 23, 25, 26, 33, 47, 55, 57, 70] - 3850; 5101;
19; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 5, 12, 22, 33, 47, 56, 63, 70] - 3904; 4970;
20; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 5, 12, 22, 33, 47, 56, 63, 70] - 3904; 5101;

