geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 14; 31; [1, 2, 5, 12, 13, 15, 20] - 30; 49;
2; 31; 24; 6; 0.2; 0.3; 11; 24; [1, 3, 8, 10, 14, 15, 20] - 32; 51;
3; 24; 18; 4; 0.2; 0.3; 8; 18; [1, 2, 5, 10, 14, 13, 19, 20] - 35; 55;
4; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 10, 13, 19, 20] - 36; 53;
5; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 5, 12, 13, 15, 20] - 30; 52;
6; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 5, 12, 13, 15, 20] - 30; 46;
7; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 10, 14, 15, 20] - 32; 49;
8; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 10, 14, 15, 20] - 32; 46;
9; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 10, 14, 15, 20] - 32; 55;
10; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 8, 9, 12, 19, 20] - 32; 54;

