geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 27; 20; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 7;1731
2; 20; 20; 10; 0.1; 0; 4; 1; 0; 0.03; 0; 0; 7;1718
3; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 6;1718
4; 20; 20; 10; 0.1; 0; 1; 4; 0; 0.03; 0; 0; 7;1718
5; 20; 20; 10; 0.1; 3; 0; 2; 0; 0.03; 0; 0; 7;1718
6; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 0; 0; 7;1718
7; 20; 20; 10; 0.1; 2; 3; 0; 0; 0.03; 0; 0; 7;1718
8; 20; 21; 10; 0.1; 2; 1; 2; 0; 0.03; 0; 0; 7;1711
9; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 6;1527
10; 17; 18; 8; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1556

