geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 36; 8; 0.2; 0.15; 7; 19; [1, 3, 12, 22, 33, 46, 49, 58, 62, 70] - 3938; 4963;
2; 36; 33; 7; 0.2; 0.15; 6; 16; [1, 3, 12, 22, 25, 33, 47, 55, 58, 62, 70] - 3646; 4714;
3; 33; 28; 6; 0.2; 0.15; 5; 16; [1, 3, 12, 22, 25, 33, 47, 55, 58, 62, 70] - 3646; 4525;
4; 28; 23; 5; 0.2; 0.15; 4; 14; [1, 3, 12, 22, 25, 33, 47, 55, 58, 62, 70] - 3646; 4467;
5; 23; 18; 4; 0.2; 0.15; 4; 13; [1, 3, 12, 22, 25, 33, 47, 55, 58, 62, 70] - 3646; 4342;
6; 18; 22; 10; 0.6; 0.15; 4; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4345;
7; 22; 19; 4; 0.2; 0.15; 3; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4235;
8; 19; 24; 11; 0.6; 0.15; 4; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4342;
9; 24; 21; 4; 0.2; 0.15; 4; 11; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4235;
10; 21; 18; 4; 0.2; 0.15; 3; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4210;
11; 18; 21; 10; 0.6; 0.15; 4; 11; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4210;
12; 21; 19; 4; 0.2; 0.15; 3; 9; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4091;
13; 19; 24; 11; 0.6; 0.15; 4; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 4091;
14; 24; 22; 4; 0.2; 0.15; 4; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3971;
15; 22; 19; 4; 0.2; 0.15; 3; 10; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3945;
16; 19; 23; 11; 0.6; 0.15; 4; 11; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3962;
17; 23; 22; 4; 0.2; 0.15; 4; 9; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3962;
18; 22; 20; 4; 0.2; 0.15; 3; 9; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3943;
19; 20; 25; 12; 0.2; 0.15; 4; 11; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3962;
20; 25; 23; 5; 0.2; 0.15; 4; 11; [1, 3, 13, 23, 33, 47, 55, 57, 70] - 3522; 3945;

