geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 26; 22; 5; 0.2; ; 0.3; 7; 16; [1, 4, 10, 20] - 10861883
2; 22; 20; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861864
3; 20; 23; 12; 0.2; ; 0.3; 8; 17; [1, 4, 10, 20] - 10861832
4; 23; 21; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861711
5; 21; 21; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861711
6; 21; 21; 4; 0.2; ; 0.3; 6; 10; [1, 4, 10, 20] - 10861711
7; 21; 20; 4; 0.2; ; 0.3; 6; 11; [1, 4, 10, 20] - 10861689
8; 20; 25; 12; 0.2; ; 0.3; 8; 15; [1, 4, 10, 20] - 10861711
9; 25; 23; 5; 0.2; ; 0.3; 8; 15; [1, 4, 10, 20] - 10861660
10; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861660
11; 22; 21; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861556
12; 21; 23; 4; 0.2; ; 0.3; 7; 9; [1, 4, 10, 20] - 10861587
13; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861587
14; 22; 21; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861556
15; 21; 21; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861556
16; 21; 23; 4; 0.2; ; 0.3; 7; 9; [1, 4, 10, 20] - 10861587
17; 23; 23; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861587
18; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
19; 24; 21; 4; 0.2; ; 0.3; 7; 14; [1, 4, 10, 20] - 10861556
20; 21; 21; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861556
21; 21; 23; 4; 0.2; ; 0.3; 7; 9; [1, 4, 10, 20] - 10861587
22; 23; 23; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861587
23; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861587
24; 22; 23; 4; 0.2; ; 0.3; 7; 10; [1, 4, 10, 20] - 10861587
25; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861587
26; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
27; 24; 24; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
28; 24; 24; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
29; 24; 23; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
30; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660

