geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 34; 8; 0.2; 0.15; 8; 30; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4759;
2; 34; 26; 6; 0.2; 0.15; 6; 26; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4603;
3; 26; 20; 5; 0.2; 0.15; 5; 20; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4603;
4; 20; 24; 12; 0.6; 0.15; 6; 22; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4465;
5; 24; 18; 4; 0.2; 0.15; 4; 18; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4349;
6; 18; 19; 10; 0.6; 0.15; 5; 20; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4349;
7; 19; 20; 11; 0.6; 0.15; 5; 21; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
8; 20; 25; 12; 0.6; 0.15; 6; 25; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
9; 25; 19; 5; 0.2; 0.15; 5; 20; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 4349;
10; 19; 19; 11; 0.6; 0.15; 5; 20; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
11; 19; 18; 11; 0.6; 0.15; 4; 18; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
12; 18; 18; 10; 0.6; 0.15; 4; 18; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
13; 18; 17; 10; 0.6; 0.15; 4; 17; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
14; 17; 17; 10; 0.6; 0.15; 4; 18; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
15; 17; 15; 10; 0.6; 0.15; 4; 16; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
16; 15; 14; 9; 0.6; 0.15; 3; 15; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
17; 14; 12; 8; 0.6; 0.15; 3; 13; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
18; 12; 10; 7; 0.6; 0.15; 2; 11; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
19; 10; 9; 6; 0.6; 0.15; 2; 9; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
20; 9; 8; 5; 0.6; 0.15; 2; 8; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
21; 8; 6; 4; 0.6; 0.15; 1; 7; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
22; 6; 5; 3; 0.6; 0.15; 1; 5; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
23; 5; 4; 3; 0.6; 0.15; 1; 5; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
24; 4; 3; 2; 0.6; 0.15; 0; 3; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
25; 3; 2; 1; 0.6; 0.15; 0; 2; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
26; 2; 1; 1; 0.6; 0.15; 0; 2; [1, 2, 9, 13, 40, 44, 45, 57, 70] - 3766; 3766;
27; 1; 0; 0; 0.6; 0.15; 0; 1; null; -1;

