geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 35; 28; 4; 0.1; 1; 1; 0; 0; 0.03; 2; 2; 9;1832
2; 28; 23; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 8;1711
3; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1587
4; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 7;1587
5; 20; 21; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 7;1587
6; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;1527
7; 17; 18; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1556
8; 18; 21; 10; 0.5; 2; 1; 2; 0; 0.03; 1; 1; 7;1587
9; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1527
10; 17; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1587

