geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;media
1;80;62;16;0.2;0.3;29;63;[1, 2, 5, 10, 14, 15, 20] - 29;47
2;62;48;12;0.2;0.3;23;49;[1, 3, 5, 10, 14, 15, 20] - 29;49
3;48;38;10;0.2;0.3;18;38;[1, 3, 5, 12, 13, 15, 20] - 30;48
4;38;30;8;0.2;0.3;14;30;[1, 2, 5, 12, 13, 19, 20] - 30;48
5;30;23;6;0.2;0.3;11;24;[1, 2, 5, 12, 13, 19, 20] - 30;47
6;23;18;4;0.2;0.3;9;18;[1, 3, 8, 9, 13, 15, 20] - 33;48
7;18;18;10;0.6;0.3;9;19;[1, 3, 5, 10, 13, 19, 20] - 33;46
8;18;18;10;0.6;0.3;9;19;[1, 3, 5, 10, 13, 19, 20] - 33;46
9;18;18;10;0.6;0.3;9;19;[1, 2, 4, 11, 13, 19, 20] - 34;49
10;18;18;10;0.6;0.3;9;19;[1, 3, 8, 9, 13, 19, 20] - 33;52

