geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 37; 28; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 9;1832
2; 28; 23; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 7;1660
3; 23; 20; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1594
4; 20; 22; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1660
5; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1587
6; 18; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1594
7; 20; 21; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 7;1594
8; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1587
9; 18; 19; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1587
10; 19; 20; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 7;1594

