geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 80; 62; 16; 0.2; 0.3; 29; 63; [1, 3, 12, 22, 23, 33, 47, 55, 58, 62, 70] - 3634; 4812;
2; 62; 48; 12; 0.2; 0.3; 23; 49; [1, 3, 13, 31, 41, 45, 57, 70] - 3777; 4916;
3; 48; 38; 10; 0.2; 0.3; 18; 38; [1, 3, 5, 12, 13, 40, 44, 56, 63, 70] - 3760; 4946;
4; 38; 30; 8; 0.2; 0.3; 14; 30; [1, 2, 3, 23, 25, 33, 49, 58, 62, 70] - 3752; 4781;
5; 30; 23; 6; 0.2; 0.3; 11; 24; [1, 2, 3, 23, 25, 33, 49, 58, 62, 70] - 3752; 4873;
6; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 2, 4, 11, 21, 31, 33, 49, 58, 62, 70] - 3936; 4916;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 12, 22, 25, 33, 47, 49, 58, 62, 70] - 3792; 4826;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 12, 22, 25, 33, 47, 49, 58, 62, 70] - 3792; 4997;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 9, 21, 23, 31, 41, 45, 57, 70] - 3925; 5067;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 9, 21, 31, 40, 41, 45, 56, 63, 70] - 3980; 5277;

