geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 36; 28; 8; 0.2; 0.3; 11; 27; [1, 2, 4, 10, 20] - 1163; 1832;
2; 28; 27; 6; 0.2; 0.3; 10; 17; [1, 4, 10, 20] - 1086; 1711;
3; 27; 26; 6; 0.2; 0.3; 10; 17; [1, 4, 10, 20] - 1086; 1711;
4; 26; 24; 6; 0.2; 0.3; 10; 18; [1, 4, 10, 20] - 1086; 1689;
5; 24; 23; 4; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1660;
6; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1660;
7; 23; 22; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1660;
8; 22; 22; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
9; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
10; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
11; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1619;
12; 23; 24; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
13; 24; 25; 4; 0.2; 0.3; 9; 12; [1, 4, 10, 20] - 1086; 1660;
14; 25; 24; 6; 0.2; 0.3; 9; 16; [1, 4, 10, 20] - 1086; 1660;
15; 24; 23; 4; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1619;
16; 23; 21; 4; 0.2; 0.3; 8; 14; [1, 4, 10, 20] - 1086; 1587;
17; 21; 22; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1619;
18; 22; 22; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1619;
19; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1619;
20; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1619;

