geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;80;55;16;0.2;0.15;15;56;[1, 2, 9, 13, 31, 33, 47, 55, 57, 70] - 3561;4913
2;55;39;12;0.2;0.15;11;39;[1, 2, 9, 13, 31, 33, 47, 55, 57, 70] - 3561;4490
3;39;27;8;0.2;0.15;8;28;[1, 2, 9, 13, 31, 33, 47, 55, 57, 70] - 3561;4490
4;27;19;6;0.2;0.15;5;19;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4490
5;19;18;12;0.6;0.15;5;18;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4490
6;18;16;10;0.6;0.15;5;17;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4443
7;16;15;10;0.6;0.15;4;15;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4278
8;15;14;10;0.6;0.15;4;15;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4278
9;14;13;8;0.6;0.15;4;13;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4221
10;13;12;8;0.6;0.15;4;13;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4221
11;12;11;8;0.6;0.15;3;12;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4221
12;11;10;6;0.6;0.15;3;10;[1, 3, 23, 33, 34, 41, 45, 57, 70] - 4221;4221

