geracao; tamanhoAntesOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 34; 28; 6; 0.2; 0.3; 11; 11; 23;[1, 4, 10, 20] - 10861832
2; 28; 25; 6; 0.2; 0.3; 10; 10; 19;[1, 4, 10, 20] - 10861731
3; 25; 25; 6; 0.2; 0.3; 9; 9; 15;[1, 4, 10, 20] - 10861711
4; 25; 23; 6; 0.2; 0.3; 9; 9; 17;[1, 4, 10, 20] - 10861660
5; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861660
6; 23; 22; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861660
7; 22; 21; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861612
8; 21; 22; 4; 0.2; 0.3; 8; 8; 11;[1, 4, 10, 20] - 10861660
9; 22; 23; 4; 0.2; 0.3; 8; 8; 11;[1, 4, 10, 20] - 10861612
10; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861612
11; 23; 23; 4; 0.2; 0.3; 9; 9; 13;[1, 4, 10, 20] - 10861612
12; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861612
13; 23; 22; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861612
14; 22; 23; 4; 0.2; 0.3; 8; 8; 11;[1, 4, 10, 20] - 10861612
15; 23; 22; 4; 0.2; 0.3; 9; 9; 14;[1, 4, 10, 20] - 10861612
16; 22; 22; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861612
17; 22; 20; 4; 0.2; 0.3; 8; 8; 14;[1, 4, 10, 20] - 10861587
18; 20; 26; 12; 0.2; 0.3; 9; 9; 15;[1, 4, 10, 20] - 10861711
19; 26; 26; 6; 0.2; 0.3; 10; 10; 16;[1, 4, 10, 20] - 10861711
20; 26; 23; 6; 0.2; 0.3; 9; 9; 18;[1, 4, 10, 20] - 10861612

