geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 80; 86; 16; 0.2; 0.15; 17; 43; [1, 45, 99]: 200, trocas: 0; 622;
2; 86; 90; 18; 0.2; 0.15; 18; 44; [1, 45, 99]: 200, trocas: 0; 511;
3; 90; 88; 18; 0.2; 0.15; 18; 44; [1, 45, 99]: 200, trocas: 0; 491;
4; 88; 93; 18; 0.2; 0.15; 18; 41; [1, 45, 99]: 200, trocas: 0; 419;
5; 93; 104; 18; 0.2; 0.15; 19; 40; [1, 45, 99]: 200, trocas: 0; 408;
6; 104; 106; 20; 0.2; 0.15; 21; 51; [1, 45, 99]: 200, trocas: 0; 408;
7; 106; 105; 22; 0.2; 0.15; 20; 45; [1, 45, 99]: 200, trocas: 0; 398;
8; 105; 112; 22; 0.2; 0.15; 21; 46; [1, 45, 99]: 200, trocas: 0; 384;
9; 112; 116; 22; 0.2; 0.15; 21; 43; [1, 45, 99]: 200, trocas: 0; 368;
10; 116; 120; 24; 0.2; 0.15; 23; 55; [1, 45, 99]: 200, trocas: 0; 307;
11; 120; 122; 24; 0.2; 0.15; 23; 49; [1, 45, 99]: 200, trocas: 0; 307;
12; 122; 123; 24; 0.2; 0.15; 23; 50; [1, 45, 99]: 200, trocas: 0; 200;
13; 123; 127; 24; 0.2; 0.15; 23; 49; [1, 45, 99]: 200, trocas: 0; 200;
14; 127; 130; 26; 0.2; 0.15; 24; 49; [1, 45, 99]: 200, trocas: 0; 200;
15; 130; 130; 26; 0.2; 0.15; 24; 50; [1, 45, 99]: 200, trocas: 0; 200;
16; 130; 133; 26; 0.2; 0.15; 24; 49; [1, 45, 99]: 200, trocas: 0; 200;
17; 133; 135; 26; 0.2; 0.15; 25; 51; [1, 45, 99]: 200, trocas: 0; 200;
18; 135; 137; 28; 0.2; 0.15; 25; 51; [1, 45, 99]: 200, trocas: 0; 200;
19; 137; 137; 28; 0.2; 0.15; 25; 53; [1, 45, 99]: 200, trocas: 0; 200;
20; 137; 138; 28; 0.2; 0.15; 25; 52; [1, 45, 99]: 200, trocas: 0; 200;
21; 138; 138; 28; 0.2; 0.15; 25; 53; [1, 45, 99]: 200, trocas: 0; 200;
22; 138; 138; 28; 0.2; 0.15; 25; 53; [1, 45, 99]: 200, trocas: 0; 200;
23; 138; 139; 28; 0.2; 0.15; 25; 52; [1, 45, 99]: 200, trocas: 0; 200;
24; 139; 141; 28; 0.2; 0.15; 26; 54; [1, 45, 99]: 200, trocas: 0; 200;
25; 141; 142; 28; 0.2; 0.15; 26; 53; [1, 45, 99]: 200, trocas: 0; 200;
26; 142; 148; 28; 0.2; 0.15; 27; 55; [1, 45, 99]: 200, trocas: 0; 200;
27; 148; 149; 30; 0.2; 0.15; 27; 56; [1, 45, 99]: 200, trocas: 0; 200;
28; 149; 149; 30; 0.2; 0.15; 27; 57; [1, 45, 99]: 200, trocas: 0; 200;
29; 149; 152; 30; 0.2; 0.15; 28; 57; [1, 45, 99]: 200, trocas: 0; 200;
30; 152; 152; 30; 0.2; 0.15; 28; 58; [1, 45, 99]: 200, trocas: 0; 200;
31; 152; 152; 30; 0.2; 0.15; 28; 58; [1, 45, 99]: 200, trocas: 0; 200;
32; 152; 153; 30; 0.2; 0.15; 28; 57; [1, 45, 99]: 200, trocas: 0; 200;
33; 153; 154; 30; 0.2; 0.15; 28; 57; [1, 45, 99]: 200, trocas: 0; 200;
34; 154; 155; 30; 0.2; 0.15; 28; 57; [1, 45, 99]: 200, trocas: 0; 200;
35; 155; 159; 32; 0.2; 0.15; 29; 57; [1, 45, 99]: 200, trocas: 0; 200;
36; 159; 162; 32; 0.2; 0.15; 29; 58; [1, 45, 99]: 200, trocas: 0; 200;
37; 162; 163; 32; 0.2; 0.15; 30; 61; [1, 45, 99]: 200, trocas: 0; 200;
38; 163; 162; 32; 0.2; 0.15; 30; 63; [1, 45, 99]: 200, trocas: 0; 200;
39; 162; 161; 32; 0.2; 0.15; 30; 63; [1, 45, 99]: 200, trocas: 0; 200;
40; 161; 162; 32; 0.2; 0.15; 29; 60; [1, 45, 99]: 200, trocas: 0; 200;
41; 162; 164; 32; 0.2; 0.15; 30; 62; [1, 45, 99]: 200, trocas: 0; 200;
42; 164; 164; 32; 0.2; 0.15; 30; 62; [1, 45, 99]: 200, trocas: 0; 200;
43; 164; 166; 32; 0.2; 0.15; 30; 62; [1, 45, 99]: 200, trocas: 0; 200;
44; 166; 171; 34; 0.2; 0.15; 31; 62; [1, 45, 99]: 200, trocas: 0; 200;
45; 171; 175; 34; 0.2; 0.15; 32; 64; [1, 45, 99]: 200, trocas: 0; 200;
46; 175; 176; 36; 0.2; 0.15; 32; 67; [1, 45, 99]: 200, trocas: 0; 200;
47; 176; 178; 36; 0.2; 0.15; 32; 66; [1, 45, 99]: 200, trocas: 0; 200;
48; 178; 180; 36; 0.2; 0.15; 33; 67; [1, 45, 99]: 200, trocas: 0; 200;
49; 180; 181; 36; 0.2; 0.15; 33; 68; [1, 45, 99]: 200, trocas: 0; 200;
50; 181; 183; 36; 0.2; 0.15; 33; 67; [1, 45, 99]: 200, trocas: 0; 200;
51; 183; 185; 36; 0.2; 0.15; 33; 67; [1, 45, 99]: 200, trocas: 0; 200;
52; 185; 187; 38; 0.2; 0.15; 34; 70; [1, 45, 99]: 200, trocas: 0; 200;
53; 187; 188; 38; 0.2; 0.15; 34; 71; [1, 45, 99]: 200, trocas: 0; 200;
54; 188; 190; 38; 0.2; 0.15; 34; 70; [1, 45, 99]: 200, trocas: 0; 307;
55; 190; 192; 38; 0.2; 0.15; 35; 73; [1, 45, 99]: 200, trocas: 0; 200;
56; 192; 193; 38; 0.2; 0.15; 35; 72; [1, 45, 99]: 200, trocas: 0; 200;
57; 193; 191; 38; 0.2; 0.15; 35; 75; [1, 45, 99]: 200, trocas: 0; 200;
58; 191; 189; 38; 0.2; 0.15; 35; 75; [1, 45, 99]: 200, trocas: 0; 200;
59; 189; 190; 38; 0.2; 0.15; 35; 72; [1, 45, 99]: 200, trocas: 0; 200;
60; 190; 194; 38; 0.2; 0.15; 35; 71; [1, 45, 99]: 200, trocas: 0; 200;
61; 194; 195; 38; 0.2; 0.15; 35; 72; [1, 45, 99]: 200, trocas: 0; 200;
62; 195; 197; 40; 0.2; 0.15; 36; 74; [1, 45, 99]: 200, trocas: 0; 200;
63; 197; 198; 40; 0.2; 0.15; 36; 75; [1, 45, 99]: 200, trocas: 0; 307;
64; 198; 199; 40; 0.2; 0.15; 36; 75; [1, 45, 99]: 200, trocas: 0; 307;
65; 199; 200; 40; 0.2; 0.15; 36; 75; [1, 45, 99]: 200, trocas: 0; 307;
66; 200; 202; 40; 0.2; 0.15; 36; 74; [1, 45, 99]: 200, trocas: 0; 307;
67; 202; 203; 40; 0.2; 0.15; 37; 76; [1, 45, 99]: 200, trocas: 0; 307;
68; 203; 204; 40; 0.2; 0.15; 37; 76; [1, 45, 99]: 200, trocas: 0; 307;
69; 204; 204; 40; 0.2; 0.15; 37; 77; [1, 45, 99]: 200, trocas: 0; 307;
70; 204; 205; 40; 0.2; 0.15; 37; 76; [1, 45, 99]: 200, trocas: 0; 307;
71; 205; 207; 42; 0.2; 0.15; 38; 78; [1, 45, 99]: 200, trocas: 0; 307;
72; 207; 209; 42; 0.2; 0.15; 38; 78; [1, 45, 99]: 200, trocas: 0; 322;
73; 209; 210; 42; 0.2; 0.15; 38; 79; [1, 45, 99]: 200, trocas: 0; 322;
74; 210; 209; 42; 0.2; 0.15; 38; 81; [1, 45, 99]: 200, trocas: 0; 322;
75; 209; 209; 42; 0.2; 0.15; 38; 80; [1, 45, 99]: 200, trocas: 0; 322;
76; 209; 210; 42; 0.2; 0.15; 38; 79; [1, 45, 99]: 200, trocas: 0; 322;
