geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; media;
1; 39; 29; 8; 0.2; ; 0.3; 12; 30; [1, 2, 4, 10, 20] - 11631864;
2; 29; 24; 6; 0.2; ; 0.3; 10; 21; [1, 4, 10, 20] - 10861731;
3; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861727;
4; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861718;
5; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861718;
6; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861718;
7; 23; 21; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861711;
8; 21; 22; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861711;
9; 22; 23; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861711;
10; 23; 25; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861711;
11; 25; 25; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861689;
12; 25; 25; 6; 0.2; ; 0.3; 10; 16; [1, 4, 10, 20] - 10861689;
13; 25; 25; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861689;
14; 25; 26; 6; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861711;
15; 26; 26; 6; 0.2; ; 0.3; 10; 16; [1, 4, 10, 20] - 10861689;
16; 26; 25; 6; 0.2; ; 0.3; 9; 16; [1, 4, 10, 20] - 10861660;
17; 25; 23; 6; 0.2; ; 0.3; 9; 17; [1, 4, 10, 20] - 10861619;
18; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861619;
19; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587;
20; 21; 23; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861619;

