geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 31, 40, 41, 45, 57, 70] - 3739; 4607;
2; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 11, 21, 23, 33, 49, 55, 57, 70] - 3628; 4775;
3; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 11, 21, 23, 33, 49, 55, 57, 70] - 3628; 4436;
4; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 21, 23, 33, 47, 55, 57, 70] - 3500; 4551;
5; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 21, 23, 33, 47, 55, 57, 70] - 3500; 4382;
6; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4512;
7; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4631;
8; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4451;
9; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4410;
10; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4318;
11; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4632;
12; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4588;
13; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4471;
14; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4590;
15; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4378;
16; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4359;
17; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4388;
18; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4497;
19; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4458;
20; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4298;
21; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 2, 9, 13, 23, 33, 49, 58, 62, 70] - 3478; 4335;
22; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4399;
23; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4377;
24; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4475;
25; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4377;
26; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4370;
27; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4328;
28; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4722;
29; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4558;
30; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4759;
31; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4877;
32; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4613;
33; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4693;
34; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4492;
35; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4356;
36; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4612;
37; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4298;
38; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4480;
39; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4430;
40; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4333;
41; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4647;
42; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4424;
43; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4648;
44; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4778;
45; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4534;
46; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4517;
47; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4529;
48; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4489;
49; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4750;
50; 80; 80; 20; 0.6; 0.15; 12; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4388;
