geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 37; 30; 8, 0.2, 0.3, 12, 27, [1, 4, 10, 20] - 1086, 1832
2; 30; 28; 6, 0.2, 0.3, 10, 18, [1, 4, 10, 20] - 1086, 1814
3; 28; 26; 6, 0.2, 0.3, 10, 18, [1, 4, 10, 20] - 1086, 1711
4; 26; 23; 6, 0.2, 0.3, 9, 18, [1, 4, 10, 20] - 1086, 1660
5; 23; 24; 4, 0.2, 0.3, 8, 11, [1, 4, 10, 20] - 1086, 1660
6; 24; 22; 4, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1587
7; 22; 23; 4, 0.2, 0.3, 8, 11, [1, 4, 10, 20] - 1086, 1587
8; 23; 24; 4, 0.2, 0.3, 8, 11, [1, 4, 10, 20] - 1086, 1660
9; 24; 26; 4, 0.2, 0.3, 9, 11, [1, 4, 10, 20] - 1086, 1689
10; 26; 26; 6, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1689

