geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 33; 26; 6; 0.2; ; 0.3; 11; 24; [1, 4, 10, 20] - 10861711
2; 26; 26; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861711
3; 26; 28; 6; 0.2; ; 0.3; 10; 14; [1, 4, 10, 20] - 10861711
4; 28; 26; 6; 0.2; ; 0.3; 10; 18; [1, 4, 10, 20] - 10861689
5; 26; 26; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861689
6; 26; 25; 6; 0.2; ; 0.3; 9; 16; [1, 4, 10, 20] - 10861660
7; 25; 23; 6; 0.2; ; 0.3; 9; 17; [1, 4, 10, 20] - 10861612
8; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861612
9; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861612
10; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861612
11; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861612
12; 23; 25; 4; 0.2; ; 0.3; 9; 11; [1, 4, 10, 20] - 10861660
13; 25; 25; 6; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861660
14; 25; 25; 6; 0.2; ; 0.3; 10; 16; [1, 4, 10, 20] - 10861660
15; 25; 26; 6; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861689
16; 26; 25; 6; 0.2; ; 0.3; 10; 17; [1, 4, 10, 20] - 10861660
17; 25; 24; 6; 0.2; ; 0.3; 9; 16; [1, 4, 10, 20] - 10861660
18; 24; 24; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861660
19; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861612
20; 23; 21; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861587
21; 21; 23; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861612
22; 23; 24; 4; 0.2; ; 0.3; 9; 12; [1, 4, 10, 20] - 10861660
23; 24; 24; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861660
24; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861612
25; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861612
26; 23; 21; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861587
27; 21; 20; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
28; 20; 22; 12; 0.2; ; 0.3; 8; 18; [1, 4, 10, 20] - 10861587
29; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861556
30; 21; 22; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861587

