geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 35; 27; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 10;1814
2; 27; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;1711
3; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1689
4; 20; 21; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1689
5; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1660
6; 18; 20; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1689
7; 20; 21; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 7;1689
8; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1660
9; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;1660
10; 18; 20; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1689

