geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;media
1;80;62;16;0.2;0.3;29;63;[1, 3, 23, 33, 47, 49, 55, 57, 70] - 3801;5174
2;62;48;12;0.2;0.3;23;49;[1, 3, 23, 33, 47, 49, 55, 57, 70] - 3801;5052
3;48;38;10;0.2;0.3;18;38;[1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528;4910
4;38;30;8;0.2;0.3;14;30;[1, 3, 23, 33, 46, 49, 58, 62, 70] - 3884;5107
5;30;23;6;0.2;0.3;11;24;[1, 2, 9, 13, 21, 31, 33, 49, 55, 58, 62, 70] - 3934;5204
6;23;18;4;0.2;0.3;9;18;[1, 3, 13, 23, 33, 46, 49, 58, 62, 70] - 3977;5128
7;18;18;10;0.6;0.3;9;19;[1, 2, 9, 11, 21, 22, 25, 26, 34, 46, 49, 58, 62, 70] - 3985;5099
8;18;18;10;0.6;0.3;9;19;[1, 2, 9, 21, 31, 40, 41, 44, 56, 57, 70] - 4200;5012
9;18;18;10;0.6;0.3;9;19;[1, 2, 9, 21, 31, 40, 41, 44, 56, 57, 70] - 4200;5012
10;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 26, 34, 46, 49, 55, 58, 62, 70] - 4137;4812
11;18;18;10;0.6;0.3;9;19;[1, 4, 10, 20, 39, 56, 63, 70] - 4104;5208
12;18;18;10;0.6;0.3;9;19;[1, 3, 23, 31, 41, 45, 57, 70] - 3854;5054
13;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 33, 49, 55, 58, 62, 70] - 3845;5038
14;18;18;10;0.6;0.3;9;19;[1, 4, 10, 11, 21, 23, 33, 49, 55, 58, 62, 70] - 3935;5229
15;18;18;10;0.6;0.3;9;19;[1, 3, 23, 31, 40, 44, 45, 57, 70] - 3921;5229
16;18;18;10;0.6;0.3;9;19;[1, 2, 9, 13, 14, 22, 33, 47, 55, 58, 62, 70] - 3924;5522
17;18;18;10;0.6;0.3;9;19;[1, 2, 9, 11, 21, 23, 25, 33, 41, 47, 55, 57, 70] - 4028;5232
18;18;18;10;0.6;0.3;9;19;[1, 2, 3, 12, 22, 33, 49, 55, 58, 62, 70] - 3870;4905
19;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 40, 41, 45, 57, 70] - 3808;4948
20;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 23, 33, 49, 55, 58, 62, 70] - 3779;4737
21;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 40, 41, 45, 57, 70] - 3808;5002
22;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 40, 41, 45, 57, 70] - 3808;4990
23;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 40, 41, 45, 57, 70] - 3808;4990
24;18;18;10;0.6;0.3;9;19;[1, 2, 9, 13, 23, 33, 46, 49, 55, 57, 70] - 3989;4990
25;18;18;10;0.6;0.3;9;19;[1, 3, 5, 12, 13, 31, 41, 44, 45, 57, 70] - 4125;5298
26;18;18;10;0.6;0.3;9;19;[1, 3, 12, 22, 25, 26, 34, 46, 47, 49, 58, 62, 70] - 4084;5328
27;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879;5018
28;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879;5103
29;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879;4860
30;18;18;10;0.6;0.3;9;19;[1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879;4992

