geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 80; 90; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 0;49.0
2; 90; 100; 8; 0.1; 2; 0; 2; 0; 0.03; 2; 2; 0;49.0
3; 100; 113; 10; 0.1; 5; 0; 0; 0; 0.03; 3; 3; 0;48.0
4; 113; 126; 10; 0.1; 3; 0; 2; 0; 0.03; 3; 3; 0;48.0
5; 126; 142; 12; 0.1; 3; 0; 3; 0; 0.03; 4; 4; 0;48.0
6; 142; 160; 14; 0.1; 6; 0; 1; 0; 0.03; 4; 4; 0;49.0
7; 160; 181; 16; 0.1; 7; 0; 1; 0; 0.03; 5; 5; 0;48.0
8; 181; 204; 18; 0.1; 7; 0; 2; 0; 0.03; 5; 5; 0;48.0
9; 204; 230; 20; 0.1; 8; 0; 2; 0; 0.03; 6; 6; 0;49.0
10; 230; 259; 22; 0.1; 8; 0; 3; 0; 0.03; 7; 7; 0;49.0

