geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo
1; 40; 25; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 20
2; 25; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 12
3; 16; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7
4; 18; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 6
5; 21; 10; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 14

