geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 30; 23; 3; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 8;1814
2; 23; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1689
3; 19; 20; 9; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 7;1660
4; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 6;1660
5; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1660
6; 20; 21; 10; 0.1; 3; 1; 1; 0; 0.03; 0; 0; 7;1660
7; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 6;1527
8; 17; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1556
9; 18; 17; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1527
10; 17; 18; 8; 0.5; 1; 1; 2; 0; 0.03; 0; 0; 6;1556

