geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 41; 8; 0.2; 0.3; 14; 21; [1, 2, 4, 10, 20] - 1163; 2104;
2; 41; 44; 8; 0.2; 0.3; 14; 19; [1, 3, 9, 11, 20] - 1320; 2140;
3; 44; 50; 8; 0.2; 0.3; 15; 17; [1, 3, 9, 11, 20] - 1320; 2104;
4; 50; 55; 10; 0.2; 0.3; 18; 23; [1, 2, 3, 9, 11, 20] - 1453; 2158;
5; 55; 60; 11; 0.2; 0.3; 19; 25; [1, 3, 9, 11, 20] - 1320; 2158;
6; 60; 65; 12; 0.2; 0.3; 21; 28; [1, 3, 9, 11, 20] - 1320; 2208;
7; 65; 70; 13; 0.2; 0.3; 23; 31; [1, 3, 9, 11, 20] - 1320; 2211;
8; 70; 74; 14; 0.2; 0.3; 25; 35; [1, 3, 9, 11, 20] - 1320; 2237;
9; 74; 77; 14; 0.2; 0.3; 26; 37; [1, 2, 3, 9, 11, 20] - 1453; 2237;
10; 77; 80; 15; 0.2; 0.3; 27; 39; [1, 2, 3, 9, 11, 20] - 1453; 2273;

