geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 52; 8; 0.2; 0.15; 7; 3; [1, 3, 13, 22, 33, 47, 55, 58, 62, 70] - 3721; 4668;
2; 52; 70; 10; 0.2; 0.15; 9; 1; [1, 3, 13, 22, 33, 47, 55, 58, 62, 70] - 3721; 4681;
3; 70; 93; 14; 0.2; 0.15; 12; 3; [1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571; 4679;
4; 93; 123; 18; 0.2; 0.15; 16; 4; [1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571; 4708;
5; 123; 168; 24; 0.2; 0.15; 22; 1; [1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571; 4754;
6; 168; 227; 33; 0.2; 0.15; 30; 4; [1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571; 4805;
7; 227; 311; 45; 0.2; 0.15; 40; 1; [1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571; 4884;
8; 311; 423; 62; 0.2; 0.15; 55; 5; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4894;
9; 423; 575; 84; 0.2; 0.15; 76; 8; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4864;
10; 575; 779; 115; 0.2; 0.15; 103; 14; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4840;

