geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 14; 31; [1, 3, 13, 40, 44, 45, 57, 70] - 3838; 5042;
2; 31; 24; 6; 0.2; 0.3; 11; 24; [1, 3, 12, 14, 22, 33, 49, 58, 62, 70] - 3671; 5042;
3; 24; 18; 4; 0.2; 0.3; 8; 18; [1, 3, 12, 22, 25, 33, 47, 55, 56, 63, 70] - 3964; 5203;
4; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 22, 25, 33, 47, 55, 56, 63, 70] - 3964; 5205;
5; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 22, 25, 33, 47, 55, 56, 63, 70] - 3964; 5205;
6; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 4, 10, 20, 39, 53, 54, 56, 63, 70] - 4203; 4963;
7; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 4, 10, 11, 21, 31, 33, 47, 55, 57, 70] - 3830; 4902;
8; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 12, 22, 33, 46, 49, 58, 62, 70] - 3938; 5011;
9; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 2, 3, 13, 22, 25, 33, 41, 45, 56, 63, 70] - 4007; 5146;
10; 18; 18; 10; 0.6; 0.3; 8; 18; [1, 3, 23, 33, 47, 56, 63, 70] - 3824; 5011;

