geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879; 4614;
2; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 47, 49, 58, 62, 70] - 3879; 4524;
3; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 5, 12, 13, 31, 32, 40, 44, 56, 63, 70] - 3876; 4443;
4; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 33, 41, 45, 57, 70] - 3628; 4186;
5; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 49, 58, 62, 70] - 3619; 4553;
6; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 49, 58, 62, 70] - 3619; 4351;
7; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 47, 55, 57, 70] - 3591; 4559;
8; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 23, 25, 33, 47, 55, 57, 70] - 3591; 4521;
9; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4853;
10; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4790;
11; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4376;
12; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4954;
13; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4829;
14; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4747;
15; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4468;
16; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4625;
17; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4809;
18; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4834;
19; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 5153;
20; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4739;
21; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4449;
22; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4916;
23; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4768;
24; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4463;
25; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4289;
26; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4471;
27; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4682;
28; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4494;
29; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4439;
30; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4715;
31; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4750;
32; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4794;
33; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4295;
34; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4766;
35; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4521;
36; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4808;
37; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4833;
38; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4681;
39; 40; 40; 10; 0.6; 0.15; 6; 0; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 5021;
