geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; mediana;
1; 28; 23; 5; 0.2; 0.3; 8; 18; [1, 4, 10, 20] - 1086; 1814;
2; 23; 23; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1711;
3; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1711;
4; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1711;
5; 23; 22; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1711;
6; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1660;
7; 22; 23; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1660;
8; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
9; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
10; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
11; 23; 23; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1612;
12; 23; 21; 4; 0.2; 0.3; 7; 13; [1, 4, 10, 20] - 1086; 1587;
13; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1612;
14; 22; 23; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1612;
15; 23; 23; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1612;
16; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
17; 23; 24; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
18; 24; 26; 4; 0.2; 0.3; 8; 10; [1, 4, 10, 20] - 1086; 1689;
19; 26; 25; 5; 0.2; 0.3; 9; 15; [1, 4, 10, 20] - 1086; 1660;
20; 25; 23; 5; 0.2; 0.3; 9; 16; [1, 4, 10, 20] - 1086; 1612;

