geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 44; 8; 0.2; 0.15; 7; 11; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 43;
2; 44; 53; 8; 0.2; 0.15; 7; 6; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 43;
3; 53; 69; 10; 0.2; 0.15; 9; 3; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 43;
4; 69; 89; 13; 0.2; 0.15; 12; 5; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 43;
5; 89; 111; 17; 0.2; 0.15; 15; 10; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 44;
6; 111; 141; 22; 0.2; 0.15; 19; 11; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 46;
7; 141; 178; 28; 0.2; 0.15; 25; 16; [1, 3, 8, 9, 12, 13, 15, 20] - 30; 46;
8; 178; 230; 35; 0.2; 0.15; 31; 14; [1, 3, 5, 10, 14, 15, 20] - 29; 47;
9; 230; 295; 46; 0.2; 0.15; 41; 22; [1, 3, 5, 10, 14, 15, 20] - 29; 48;
10; 295; 377; 59; 0.2; 0.15; 53; 30; [1, 3, 5, 10, 14, 15, 20] - 29; 48;

