geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 40; 39; 8; 0.2; 0.3; 14; 23; [1, 2, 4, 10, 20] - 1163; 2104;
2; 39; 44; 7; 0.2; 0.3; 13; 15; [1, 2, 4, 10, 20] - 1163; 2104;
3; 44; 50; 8; 0.2; 0.3; 15; 17; [1, 2, 4, 10, 20] - 1163; 2078;
4; 50; 56; 10; 0.2; 0.3; 18; 22; [1, 2, 9, 11, 20] - 1165; 2078;
5; 56; 62; 11; 0.2; 0.3; 20; 25; [1, 2, 9, 11, 20] - 1165; 2104;
6; 62; 66; 12; 0.2; 0.3; 22; 30; [1, 3, 9, 11, 20] - 1320; 2158;
7; 66; 69; 13; 0.2; 0.3; 23; 33; [1, 2, 3, 9, 11, 20] - 1453; 2211;
8; 69; 71; 13; 0.2; 0.3; 24; 35; [1, 2, 3, 9, 11, 20] - 1453; 2237;
9; 71; 73; 14; 0.2; 0.3; 25; 37; [1, 3, 5, 6, 7, 18, 19] - 1479; 2291;
10; 73; 77; 14; 0.2; 0.3; 26; 36; [1, 2, 3, 9, 11, 20] - 1453; 2211;

