geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 40; 27; 4; 0.1; 2; 0; 0; 0; 0.03; 2; 2; 19;39;
2; 27; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 12;35;
3; 18; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 7;36;
4; 22; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;34;
5; 16; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;35;
6; 19; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;35;
7; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;35;
8; 21; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;33;
9; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;33;
10; 18; 19; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 10;33;
11; 19; 19; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;33;
12; 19; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;34;
13; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;33;
14; 15; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;33;
15; 18; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;34;
16; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;32;
17; 15; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
18; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;34;
19; 18; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;34;
20; 20; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;33;

