geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 15; 32; [1, 3, 13, 14, 25, 33, 47, 55, 58, 62, 70] - 3963; 4870;
2; 31; 24; 6; 0.2; 0.3; 12; 25; [1, 2, 3, 13, 40, 44, 45, 56, 63, 70] - 4046; 4950;
3; 24; 18; 4; 0.2; 0.3; 9; 19; [1, 2, 9, 21, 23, 25, 33, 41, 45, 57, 70] - 3861; 5024;
4; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 13, 22, 33, 46, 49, 58, 62, 70] - 4034; 4950;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 13, 22, 33, 46, 49, 58, 62, 70] - 4034; 5024;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 5, 12, 13, 23, 33, 49, 55, 58, 62, 70] - 3938; 5024;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 11, 21, 23, 33, 49, 55, 57, 70] - 3948; 5048;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 9, 13, 40, 41, 45, 47, 55, 57, 70] - 4030; 5194;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 9, 13, 40, 41, 45, 47, 55, 57, 70] - 4030; 5244;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 23, 31, 41, 47, 55, 57, 70] - 4138; 5129;

