geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 26; 22; 6, 0.2, 0.3, 9, 19, [1, 4, 10, 20] - 1086, 1814
2; 22; 22; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1689
3; 22; 22; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1660
4; 22; 20; 4, 0.2, 0.3, 8, 14, [1, 4, 10, 20] - 1086, 1594
5; 20; 25; 12, 0.2, 0.3, 9, 16, [1, 4, 10, 20] - 1086, 1660
6; 25; 25; 6, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1660
7; 25; 24; 6, 0.2, 0.3, 9, 16, [1, 4, 10, 20] - 1086, 1660
8; 24; 22; 4, 0.2, 0.3, 8, 14, [1, 4, 10, 20] - 1086, 1594
9; 22; 22; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1594
10; 22; 21; 4, 0.2, 0.3, 8, 13, [1, 4, 10, 20] - 1086, 1587
11; 21; 23; 4, 0.2, 0.3, 8, 10, [1, 4, 10, 20] - 1086, 1594
12; 23; 23; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1594
13; 23; 23; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1594
14; 23; 23; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1594
15; 23; 23; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1594
16; 23; 23; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1594
17; 23; 24; 4, 0.2, 0.3, 9, 12, [1, 4, 10, 20] - 1086, 1612
18; 24; 24; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1612
19; 24; 25; 4, 0.2, 0.3, 9, 12, [1, 4, 10, 20] - 1086, 1612
20; 25; 24; 6, 0.2, 0.3, 9, 16, [1, 4, 10, 20] - 1086, 1612

