geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 15; 32; [1, 2, 4, 10, 14, 15, 20] - 31; 44;
2; 31; 24; 6; 0.2; 0.3; 12; 25; [1, 3, 8, 10, 14, 15, 20] - 32; 47;
3; 24; 18; 4; 0.2; 0.3; 9; 19; [1, 2, 4, 11, 13, 19, 20] - 34; 47;
4; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 13, 19, 20] - 30; 46;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 13, 19, 20] - 30; 48;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 48;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 47;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 50;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 13, 15, 20] - 30; 48;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 13, 19, 20] - 30; 46;

