geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 42; 8; 0.2; 0.3; 15; 21; [1, 2, 4, 10, 20] - 1163; 2104;
2; 42; 45; 8; 0.2; 0.3; 15; 20; [1, 3, 9, 11, 20] - 1320; 2104;
3; 45; 51; 10; 0.2; 0.3; 17; 21; [1, 2, 3, 9, 11, 20] - 1453; 2078;
4; 51; 57; 10; 0.2; 0.3; 19; 23; [1, 3, 5, 6, 17, 18, 19] - 1527; 2140;
5; 57; 62; 12; 0.2; 0.3; 21; 28; [1, 3, 5, 6, 17, 18, 19] - 1527; 2208;
6; 62; 68; 12; 0.2; 0.3; 23; 29; [1, 2, 3, 9, 11, 20] - 1453; 2158;
7; 68; 75; 14; 0.2; 0.3; 25; 32; [1, 2, 4, 10, 20] - 1163; 2158;
8; 75; 81; 16; 0.2; 0.3; 28; 38; [1, 2, 4, 10, 20] - 1163; 2237;
9; 81; 85; 16; 0.2; 0.3; 30; 42; [1, 2, 4, 10, 20] - 1163; 2273;
10; 85; 88; 18; 0.2; 0.3; 31; 46; [1, 2, 3, 9, 11, 20] - 1453; -2;
11; 88; 90; 18; 0.2; 0.3; 32; 48; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
12; 90; 92; 18; 0.2; 0.3; 33; 49; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
13; 92; 94; 18; 0.2; 0.3; 33; 49; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
14; 94; 95; 18; 0.2; 0.3; 34; 51; [1, 2, 4, 11, 20] - 1485; 2147483646;
15; 95; 97; 20; 0.2; 0.3; 35; 53; [1, 2, 4, 11, 20] - 1485; 2147483646;
16; 97; 100; 20; 0.2; 0.3; 36; 53; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
17; 100; 101; 20; 0.2; 0.3; 36; 55; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
18; 101; 102; 20; 0.2; 0.3; 37; 56; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
19; 102; 103; 20; 0.2; 0.3; 37; 56; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
20; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 2, 4, 11, 20] - 1485; 2147483646;

