geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 31; 8; 0.2; 0.15; 9; 32; [1, 3, 12, 14, 22, 25, 33, 49, 55, 58, 62, 70] - 3918; 5177;
2; 31; 25; 6; 0.2; 0.15; 7; 25; [1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683; 4718;
3; 25; 21; 6; 0.2; 0.15; 6; 22; [1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683; 4750;
4; 21; 16; 4; 0.2; 0.15; 5; 16; [1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683; 4718;
5; 16; 21; 10; 0.6; 0.15; 6; 21; [1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683; 4626;
6; 21; 16; 4; 0.2; 0.15; 5; 16; [1, 3, 23, 31, 33, 47, 55, 57, 70] - 3710; 4849;
7; 16; 20; 10; 0.6; 0.15; 6; 20; [1, 2, 4, 10, 11, 21, 23, 33, 47, 49, 58, 62, 70] - 4046; 4645;
8; 20; 24; 12; 0.2; 0.15; 7; 25; [1, 3, 23, 25, 33, 47, 55, 57, 70] - 3591; 4870;
9; 24; 18; 4; 0.2; 0.15; 5; 19; [1, 3, 23, 25, 33, 47, 55, 57, 70] - 3591; 4870;
10; 18; 20; 10; 0.6; 0.15; 6; 20; [1, 3, 5, 12, 22, 23, 25, 33, 47, 55, 58, 62, 70] - 3822; 4671;
11; 20; 23; 12; 0.2; 0.15; 6; 23; [1, 2, 9, 13, 22, 23, 25, 33, 47, 55, 58, 62, 70] - 3820; 5163;
12; 23; 17; 4; 0.2; 0.15; 5; 17; [1, 2, 9, 13, 22, 23, 25, 33, 47, 55, 58, 62, 70] - 3820; 4680;
13; 17; 19; 10; 0.6; 0.15; 5; 19; [1, 2, 3, 13, 22, 33, 47, 55, 58, 62, 70] - 3854; 4619;
14; 19; 25; 12; 0.6; 0.15; 7; 25; [1, 3, 12, 13, 23, 33, 49, 55, 58, 62, 70] - 3779; 4716;
15; 25; 21; 6; 0.2; 0.15; 6; 22; [1, 2, 3, 12, 13, 40, 44, 54, 56, 63, 70] - 3929; 5463;
16; 21; 14; 4; 0.2; 0.15; 4; 15; [1, 3, 5, 6, 12, 13, 21, 22, 23, 25, 26, 33, 47, 49, 58, 62, 70] - 4591; 5463;
17; 14; 16; 8; 0.6; 0.15; 5; 17; [1, 2, 9, 13, 21, 31, 33, 46, 47, 49, 58, 62, 70] - 4395; 5463;
18; 16; 18; 10; 0.6; 0.15; 5; 19; [1, 3, 12, 22, 23, 33, 47, 56, 63, 70] - 3887; 5484;
19; 18; 22; 10; 0.6; 0.15; 6; 22; [1, 3, 12, 14, 25, 33, 41, 44, 55, 58, 62, 70] - 4375; 5484;
20; 22; 15; 4; 0.2; 0.15; 4; 15; [1, 3, 9, 11, 21, 31, 40, 41, 47, 49, 58, 62, 70] - 4360; 5165;
21; 15; 18; 10; 0.6; 0.15; 5; 18; [1, 3, 9, 11, 21, 31, 40, 41, 47, 49, 58, 62, 70] - 4360; 4861;
22; 18; 20; 10; 0.6; 0.15; 6; 20; [1, 2, 3, 23, 33, 47, 55, 57, 70] - 3562; 4925;
23; 20; 24; 12; 0.2; 0.15; 7; 25; [1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659; 4999;
24; 24; 18; 4; 0.2; 0.15; 5; 19; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4926;
25; 18; 18; 10; 0.6; 0.15; 5; 19; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 5200;
26; 18; 21; 10; 0.6; 0.15; 6; 21; [1, 2, 3, 23, 33, 41, 45, 57, 70] - 3761; 5182;
27; 21; 16; 4; 0.2; 0.15; 5; 16; [1, 4, 11, 21, 23, 33, 47, 55, 57, 70] - 3759; 4926;
28; 16; 20; 10; 0.6; 0.15; 6; 20; [1, 4, 11, 21, 23, 33, 47, 55, 57, 70] - 3759; 4586;
29; 20; 23; 12; 0.2; 0.15; 6; 23; [1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709; 4558;
30; 23; 17; 4; 0.2; 0.15; 5; 17; [1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709; 4316;
31; 17; 18; 10; 0.6; 0.15; 5; 18; [1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709; 4680;
32; 18; 21; 10; 0.6; 0.15; 6; 21; [1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709; 4805;
33; 21; 17; 4; 0.2; 0.15; 5; 17; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4723;
34; 17; 19; 10; 0.6; 0.15; 5; 19; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4804;
35; 19; 25; 12; 0.6; 0.15; 7; 25; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4907;
36; 25; 21; 6; 0.2; 0.15; 6; 22; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4957;
37; 21; 17; 4; 0.2; 0.15; 5; 17; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 5311;
38; 17; 19; 10; 0.6; 0.15; 5; 19; [1, 3, 12, 22, 33, 47, 55, 57, 70] - 3483; 4697;
39; 19; 24; 12; 0.6; 0.15; 7; 24; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4747;
40; 24; 17; 4; 0.2; 0.15; 5; 18; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4697;
41; 17; 20; 10; 0.6; 0.15; 6; 21; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4747;
42; 20; 25; 12; 0.2; 0.15; 7; 26; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4681;
43; 25; 21; 6; 0.2; 0.15; 6; 22; [1, 3, 23, 25, 26, 34, 46, 49, 58, 62, 70] - 3911; 4738;
44; 21; 16; 4; 0.2; 0.15; 5; 16; [1, 2, 3, 13, 40, 41, 45, 56, 63, 70] - 4013; 4580;
45; 16; 20; 10; 0.6; 0.15; 6; 20; [1, 2, 3, 13, 40, 41, 45, 56, 63, 70] - 4013; 4580;
46; 20; 23; 12; 0.2; 0.15; 6; 23; [1, 3, 23, 33, 46, 49, 58, 62, 70] - 3884; 4500;
47; 23; 18; 4; 0.2; 0.15; 5; 18; [1, 3, 23, 33, 46, 49, 58, 62, 70] - 3884; 4695;
48; 18; 21; 10; 0.6; 0.15; 6; 21; [1, 3, 23, 33, 46, 49, 55, 57, 70] - 3968; 4816;
49; 21; 16; 4; 0.2; 0.15; 5; 16; [1, 3, 13, 31, 33, 46, 49, 58, 62, 70] - 4088; 5056;
50; 16; 17; 10; 0.6; 0.15; 5; 18; [1, 2, 9, 21, 22, 25, 33, 34, 46, 49, 55, 57, 70] - 4267; 4905;
51; 17; 19; 10; 0.6; 0.15; 5; 19; [1, 3, 13, 31, 33, 49, 58, 62, 70] - 3661; 4671;
52; 19; 25; 12; 0.6; 0.15; 7; 25; [1, 3, 13, 31, 33, 49, 58, 62, 70] - 3661; 4594;
53; 25; 19; 6; 0.2; 0.15; 5; 19; [1, 3, 13, 31, 33, 49, 58, 62, 70] - 3661; 4589;
54; 19; 25; 12; 0.6; 0.15; 7; 25; [1, 3, 13, 31, 33, 49, 58, 62, 70] - 3661; 4658;
