geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 40; 31; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 14;39;
2; 31; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 18;35;
3; 16; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;36;
4; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;36;
5; 19; 22; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 6;36;
6; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;35;
7; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;35;
8; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;35;
9; 22; 15; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 10;34;
10; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;34;
11; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;34;
12; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;34;
13; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;34;
14; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;34;
15; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;35;
16; 22; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 8;33;
17; 17; 21; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 5;34;
18; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 7;33;
19; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34;
20; 19; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10;33;
21; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;33;
22; 20; 23; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;34;
23; 23; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;33;
24; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;33;
25; 21; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 2;33;
26; 22; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;33;
27; 19; 22; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;33;
28; 22; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;33;
29; 21; 14; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 10;32;
30; 14; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 4;33;

