geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 15; 32; [1, 3, 13, 40, 41, 45, 57, 70] - 3805; 4762;
2; 31; 24; 6; 0.2; 0.3; 12; 25; [1, 3, 13, 40, 41, 45, 57, 70] - 3805; 4939;
3; 24; 18; 4; 0.2; 0.3; 9; 19; [1, 3, 13, 40, 41, 45, 57, 70] - 3805; 4762;
4; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 4, 11, 21, 31, 33, 47, 55, 58, 62, 70] - 3973; 4813;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 13, 40, 44, 45, 57, 70] - 3971; 4813;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 13, 40, 44, 45, 57, 70] - 3971; 5102;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 11, 21, 23, 25, 33, 49, 58, 62, 70] - 3948; 5129;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 11, 21, 23, 25, 33, 49, 58, 62, 70] - 3948; 5250;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 5, 12, 13, 31, 41, 45, 57, 70] - 3939; 4962;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 9, 13, 31, 33, 47, 49, 58, 62, 70] - 4004; 4962;

