geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
53;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4419
54;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4204
55;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4236
56;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4303
57;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4127
58;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4348
59;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4247
60;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4151
61;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4354
62;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4262
63;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4029
64;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4181
65;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4181
66;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4258
67;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4423
68;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4346
69;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4254
70;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4263
71;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4259
72;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4259
73;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4119
74;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4136
75;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4144
76;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4424
77;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4205
78;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4205
79;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4009
80;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4140
81;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4255
82;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4288
83;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4124
