geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 20; 19; 10; 0.1; 2; 2; 1; 0; 0.03; 0; 0; 6;1814
2; 19; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1587
3; 19; 19; 9; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1587
4; 19; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1587
5; 20; 22; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1689
6; 22; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 6;1527
7; 17; 18; 8; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1556
8; 18; 19; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1556
9; 19; 20; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1587
10; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 0; 0; 7;1587

