geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 18; 19; 10, 0.6, 0.3, 6, 15, [1, 4, 10, 20] - 1086, 1864
2; 19; 21; 11, 0.6, 0.3, 8, 17, [1, 4, 10, 20] - 1086, 1814
3; 21; 22; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1731
4; 22; 22; 4, 0.2, 0.3, 7, 11, [1, 4, 10, 20] - 1086, 1718
5; 22; 21; 4, 0.2, 0.3, 7, 12, [1, 4, 10, 20] - 1086, 1711
6; 21; 21; 4, 0.2, 0.3, 7, 11, [1, 4, 10, 20] - 1086, 1711
7; 21; 20; 4, 0.2, 0.3, 7, 12, [1, 4, 10, 20] - 1086, 1711
8; 20; 22; 12, 0.2, 0.3, 7, 17, [1, 4, 10, 20] - 1086, 1718
9; 22; 23; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1711
10; 23; 23; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1711
11; 23; 23; 4, 0.2, 0.3, 7, 11, [1, 4, 10, 20] - 1086, 1711
12; 23; 23; 4, 0.2, 0.3, 8, 12, [1, 4, 10, 20] - 1086, 1660
13; 23; 22; 4, 0.2, 0.3, 7, 12, [1, 4, 10, 20] - 1086, 1660
14; 22; 23; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1660
15; 23; 21; 4, 0.2, 0.3, 7, 13, [1, 4, 10, 20] - 1086, 1587
16; 21; 23; 4, 0.2, 0.3, 7, 9, [1, 4, 10, 20] - 1086, 1660
17; 23; 24; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1711
18; 24; 23; 4, 0.2, 0.3, 8, 13, [1, 4, 10, 20] - 1086, 1660
19; 23; 22; 4, 0.2, 0.3, 7, 12, [1, 4, 10, 20] - 1086, 1660
20; 22; 23; 4, 0.2, 0.3, 7, 10, [1, 4, 10, 20] - 1086, 1660

