geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 20; 20; 10; 0.5; 4; 0; 1; 0; 0.03; 0; 0; 10;38;
2; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 9;36;
3; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 8;34;
4; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;34;
5; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;34;
6; 18; 19; 9; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 8;34;
7; 19; 21; 9; 0.1; 3; 0; 1; 0; 0.03; 0; 0; 7;34;
8; 21; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 7;33;
9; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 5;33;
10; 19; 20; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 8;33;
11; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 8;34;
12; 22; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 9;32;
13; 15; 16; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 6;32;
14; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7;32;
15; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 5;33;
16; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 7;33;
17; 23; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 5;32;
18; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 9;33;
19; 21; 12; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 11;31;
20; 12; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 5;31;
21; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 4;32;
22; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;33;
23; 16; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;32;
24; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7;32;
25; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7;32;
26; 18; 20; 9; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 7;33;
27; 20; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 0; 0; 9;33;
28; 21; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 0; 0; 7;31;
29; 16; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 6;32;
30; 18; 18; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 9;32;

